qid	pid	score
Q1326	C1351	1
Q1327	C1352	1
Q1328	C1353	1
Q1329	C1354	1
Q1330	C1355	1
Q1331	C1356	1
Q1332	C1357	1
Q1333	C1358	1
Q1334	C1359	1
Q1335	C1360	1
Q1336	C1361	1
Q1337	C1362	1
Q1338	C1363	1
Q1340	C1365	1
Q1341	C1366	1
Q1342	C1367	1
Q1343	C1368	1
Q1344	C1369	1
Q1346	C1371	1
Q1347	C1373	1
Q1348	C1374	1
Q1355	C1377	1
Q1356	C1378	1
Q1357	C1379	1
Q1358	C1380	1
Q1359	C1381	1
Q1360	C1382	1
Q1361	C1383	1
Q1362	C1384	1
Q1363	C1385	1
Q1364	C1386	1
Q1365	C1387	1
Q1366	C1388	1
Q1367	C1389	1
Q1368	C1390	1
Q1369	C1391	1
Q1370	C1392	1
Q1371	C1393	1
Q1372	C1394	1
Q1373	C1395	1
Q1374	C1396	1
Q1375	C1397	1
Q1376	C1398	1
Q1377	C1399	1
Q1378	C1400	1
Q1379	C1401	1
Q1380	C1402	1
Q1381	C1403	1
Q1382	C1404	1
Q1383	C1405	1
Q1385	C1407	1
Q1386	C1408	1
Q1387	C1409	1
Q1388	C1410	1
Q1389	C1412	1
Q1390	C1413	1
Q1391	C1414	1
Q1392	C1415	1
Q1393	C1416	1
Q1394	C1417	1
Q1396	C1419	1
Q1397	C1420	1
Q1398	C1421	1
Q1399	C1422	1
Q1400	C1423	1
Q1402	C1425	1
Q1403	C1426	1
Q1404	C1427	1
Q1405	C1428	1
Q1406	C1429	1
Q1407	C1430	1
Q1408	C1431	1
Q1409	C1432	1
Q1410	C1433	1
Q1411	C1434	1
Q1412	C1435	1
Q1413	C1436	1
Q1414	C1437	1
Q1415	C1438	1
Q1416	C1439	1
Q1417	C1440	1
Q1418	C1441	1
Q1419	C1442	1
Q1420	C1443	1
Q1421	C1444	1
Q1422	C1445	1
Q1423	C1446	1
Q1425	C1448	1
Q1426	C1449	1
Q1429	C1452	1
Q1430	C1453	1
Q1431	C1454	1
Q1432	C1455	1
Q1433	C1456	1
Q1434	C1457	1
Q1435	C1458	1
Q1436	C1459	1
Q1437	C1460	1
Q1438	C1461	1
Q1439	C1462	1
Q1440	C1463	1
Q1441	C1464	1
Q1443	C1466	1
Q1444	C1467	1
Q1445	C1468	1
Q1446	C1469	1
Q1447	C1470	1
Q1448	C1471	1
Q1449	C1472	1
Q1450	C1473	1
Q1451	C1474	1
Q1452	C1475	1
Q1453	C1476	1
Q1454	C1477	1
Q1455	C1478	1
Q1456	C1479	1
Q1457	C1480	1
Q1458	C1481	1
Q1459	C1482	1
Q1460	C1483	1
Q1461	C1484	1
Q1462	C1485	1
Q1463	C1486	1
Q1464	C1487	1
Q1465	C1488	1
Q1466	C1489	1
Q1467	C1490	1
Q1469	C1492	1
Q1470	C1493	1
Q1471	C1494	1
Q1472	C1495	1
Q1473	C1496	1
Q1474	C1497	1
Q1475	C1498	1
Q1476	C1499	1
Q1477	C1500	1
Q1478	C1501	1
Q1479	C1502	1
Q1480	C1503	1
Q1483	C1506	1
Q1484	C1507	1
Q1485	C1508	1
Q1486	C1509	1
Q1487	C1510	1
Q1489	C1512	1
Q1491	C1514	1
Q1492	C1515	1
Q1494	C1517	1
Q1495	C1518	1
Q1497	C1520	1
Q1499	C1522	1
Q1501	C1524	1
Q1502	C1525	1
Q1503	C1526	1
Q1504	C1527	1
Q1505	C1528	1
Q1506	C1529	1
Q1507	C1530	1
Q1508	C1531	1
Q1509	C1532	1
Q1510	C1533	1
Q1511	C1534	1
Q1512	C1535	1
Q1513	C1536	1
Q1515	C1538	1
Q1516	C1539	1
Q1517	C1540	1
Q1518	C1541	1
Q1519	C1542	1
Q1520	C1543	1
Q1521	C1545	1
Q1522	C1547	1
Q1523	C1548	1
Q1524	C1549	1
Q1525	C1550	1
Q1526	C1551	1
Q1528	C1553	1
Q1529	C1554	1
Q1530	C1555	1
Q1531	C1556	1
Q1532	C1557	1
Q1533	C1558	1
Q1534	C1559	1
Q1535	C1560	1
Q1536	C1561	1
Q1537	C1562	1
Q1538	C1563	1
Q1539	C1564	1
Q1540	C1565	1
Q1541	C1566	1
Q1542	C1567	1
Q1543	C1570	1
Q1544	C1571	1
Q1545	C1572	1
Q1547	C1574	1
Q1548	C1575	1
Q1549	C1576	1
Q1551	C1578	1
Q1552	C1579	1
Q1553	C1580	1
Q1554	C1581	1
Q1555	C1582	1
Q1556	C1583	1
Q1558	C1585	1
Q1560	C1587	1
Q1562	C1589	1
Q1563	C1590	1
Q1564	C1591	1
Q1565	C1592	1
Q1566	C1593	1
Q1567	C1594	1
Q1568	C1595	1
Q1570	C1597	1
Q1571	C1598	1
Q1573	C1600	1
Q1574	C1601	1
Q1575	C1602	1
Q1576	C1603	1
Q1577	C1604	1
Q1578	C1605	1
Q1579	C1606	1
Q1580	C1607	1
Q1581	C1608	1
Q1582	C1609	1
Q1583	C1610	1
Q1584	C1611	1
Q1585	C1612	1
Q1586	C1613	1
Q1587	C1614	1
Q1588	C1615	1
Q1589	C1616	1
Q1590	C1617	1
Q1591	C1618	1
Q1593	C1620	1
Q1594	C1621	1
Q1595	C1622	1
Q1596	C1623	1
Q1597	C1624	1
Q1598	C1625	1
Q1599	C1626	1
Q1600	C1627	1
Q1601	C1628	1
Q1602	C1629	1
Q1604	C1631	1
Q1605	C1633	1
Q1606	C1634	1
Q1607	C1635	1
Q1608	C1636	1
Q1609	C1637	1
Q1610	C1638	1
Q1611	C1639	1
Q1612	C1640	1
Q1613	C1641	1
Q1614	C1642	1
Q1615	C1643	1
Q1617	C1645	1
Q1618	C1646	1
Q1619	C1647	1
Q1620	C1648	1
Q1621	C1650	1
Q1622	C1651	1
Q1623	C1652	1
Q1624	C1653	1
Q1625	C1654	1
